Time (msec),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Throttle Sensor Voltage (V)
0,1303,0.00,0.00,16,14.10,14.00,0.64
40,1292,0.00,0.00,16,14.10,15.50,0.64
72,1305,0.00,0.00,16,14.10,15.50,0.64
104,1305,0.00,0.00,16,14.10,14.00,0.64
136,1291,0.00,0.00,16,14.10,14.00,0.64
176,1291,0.00,0.00,16,14.10,15.50,0.64
208,1274,0.00,0.00,16,14.10,15.50,0.64
240,1274,0.00,0.00,16,14.10,17.50,0.64
277,1289,0.00,0.00,16,14.10,15.50,0.64
309,1289,0.00,0.00,16,14.10,15.50,0.64
341,1282,0.00,0.00,16,14.10,16.50,0.64
381,1282,0.00,0.00,16,14.10,16.50,0.64
413,1290,0.00,0.00,16,14.10,15.50,0.64
445,1290,0.00,0.00,16,14.10,15.50,0.64
477,1288,0.00,0.00,16,14.10,14.50,0.64
518,1288,0.00,0.00,16,14.10,14.50,0.64
548,1282,0.00,0.00,16,14.10,16.00,0.64
580,1282,0.00,0.00,16,14.10,16.00,0.64
620,1284,0.00,0.00,16,14.10,16.00,0.64
652,1284,0.00,0.00,16,14.10,16.00,0.64
687,1288,0.00,0.00,16,14.10,15.50,0.64
727,1288,0.00,0.00,16,14.10,15.50,0.64
751,1296,0.00,0.00,16,14.10,14.50,0.64
791,1296,0.00,0.00,16,14.10,14.50,0.64
823,1270,0.00,0.00,16,14.10,16.50,0.64
855,1275,0.00,0.00,16,14.10,16.50,0.64
893,1275,0.00,0.00,16,14.10,16.50,0.64
925,1282,0.00,0.00,16,14.10,16.50,0.64
957,1282,0.00,0.00,16,14.10,16.00,0.64
989,1281,0.00,0.00,16,14.10,16.00,0.64
1029,1281,0.00,0.00,16,14.10,16.00,0.64
1063,1291,0.00,0.00,16,14.10,16.00,0.64
1095,1291,0.00,0.00,16,14.10,15.00,0.64
1127,1280,0.00,0.00,16,14.10,15.00,0.64
1167,1280,0.00,0.00,16,14.10,16.00,0.64
1199,1280,0.00,0.00,16,14.10,16.00,0.64
1231,1280,0.00,0.00,16,14.10,16.00,0.64
1263,1288,0.00,0.00,16,14.10,15.50,0.64
1303,1288,0.00,0.00,16,14.10,15.50,0.64
1335,1273,0.00,0.00,16,14.10,16.50,0.64
1367,1273,0.00,0.00,16,14.10,16.50,0.64
1403,1294,0.00,0.00,16,14.10,14.00,0.64
1435,1294,0.00,0.00,16,14.10,14.00,0.64
1467,1275,0.00,0.00,16,14.10,16.50,0.64
1507,1275,0.00,0.00,16,14.10,16.50,0.64
1539,1271,0.00,0.00,16,14.10,16.50,0.64
1571,1271,0.00,0.00,16,14.10,16.50,0.64
1603,1282,0.00,0.00,16,14.10,15.50,0.64
1643,1282,0.00,0.00,16,14.10,15.50,0.64
1675,1283,0.00,0.00,16,14.10,15.50,0.64
1710,1282,0.00,0.00,16,14.10,15.50,0.64
1742,1282,0.00,0.00,16,14.10,15.50,0.64
1774,1270,0.00,0.00,16,14.10,15.50,0.64
1814,1270,0.00,0.00,16,14.10,15.50,0.64
1847,1264,0.00,0.00,16,14.10,15.50,0.64
1883,1264,0.00,0.00,16,14.10,17.50,0.64
1911,1286,0.00,0.00,16,14.10,15.00,0.64
1951,1286,0.00,0.00,16,14.10,15.00,0.64
1983,1282,0.00,0.00,16,14.10,15.50,0.64
2015,1282,0.00,0.00,16,14.10,15.50,0.64
2047,1289,0.00,0.00,16,14.10,14.50,0.64
2087,1289,0.00,0.00,16,14.10,14.50,0.64
2119,1276,0.00,0.00,16,14.10,15.50,0.64
2151,1276,0.00,0.00,16,14.10,15.50,0.64
2183,1277,0.00,0.00,16,14.10,16.00,0.64
2223,1277,0.00,0.00,16,14.10,16.00,0.64
2255,1286,0.00,0.00,16,14.10,15.00,0.64
2295,1286,0.00,0.00,16,14.10,15.00,0.64
2328,1278,0.00,0.00,16,14.10,15.50,0.64
2361,1278,0.00,0.00,16,14.10,15.50,0.64
2393,1288,0.00,0.00,16,14.10,14.50,0.64
2426,1288,0.00,0.00,16,14.10,14.50,0.64
2458,1277,0.00,0.00,16,14.10,15.00,0.64
2498,1277,0.00,0.00,16,14.10,15.00,0.64
2526,1277,0.00,0.00,16,14.10,16.00,0.64
2566,1284,0.00,0.00,16,14.10,16.00,0.64
2598,1284,0.00,0.00,16,14.10,15.50,0.64
2630,1279,0.00,0.00,16,14.10,15.50,0.64
2662,1279,0.00,0.00,16,14.10,15.50,0.64
2702,1300,0.00,0.00,16,14.10,15.50,0.64
2736,1300,0.00,0.00,16,14.10,13.50,0.64
2768,1278,0.00,0.00,16,14.10,13.50,0.64
2800,1278,0.00,0.00,16,14.10,16.00,0.64
2832,1283,0.00,0.00,16,14.10,15.50,0.64
2872,1283,0.00,0.00,16,14.10,15.50,0.64
2904,1285,0.00,0.00,16,14.10,15.50,0.64
2935,1285,0.00,0.00,16,14.10,15.50,0.64
2975,1273,0.00,0.00,16,14.10,16.50,0.64
3007,1273,0.00,0.00,16,14.10,16.50,0.64
3039,1284,0.00,0.00,16,14.10,15.50,0.64
3079,1284,0.00,0.00,16,14.10,15.50,0.64
3111,1286,0.00,0.00,16,14.10,15.00,0.64
3143,1286,0.00,0.00,16,14.10,15.00,0.64
3179,1285,0.00,0.00,16,14.10,15.50,0.64
3212,1285,0.00,0.00,16,14.10,15.50,0.64
3244,1289,0.00,0.00,16,14.10,15.00,0.64
3276,1289,0.00,0.00,16,14.10,15.00,0.64
3315,1275,0.00,0.00,16,14.10,16.50,0.64
3348,1283,0.00,0.00,16,14.10,16.50,0.64
3380,1283,0.00,0.00,16,14.10,15.50,0.64
3412,1274,0.00,0.00,16,14.10,15.50,0.64
3451,1274,0.00,0.00,16,14.10,16.50,0.64
3480,1279,0.00,0.00,16,14.10,16.50,0.64
3520,1279,0.00,0.00,16,14.10,16.00,0.64
3552,1288,0.00,0.00,16,14.10,15.00,0.64
3584,1288,0.00,0.00,16,14.10,15.00,0.64
3624,1277,0.00,0.00,16,14.10,16.00,0.64
3656,1277,0.00,0.00,16,14.10,16.00,0.64
3688,1282,0.00,0.00,16,14.10,15.50,0.64
3728,1282,0.00,0.00,16,14.10,15.50,0.64
3760,1276,0.00,0.00,16,14.10,16.00,0.64
3792,1276,0.00,0.00,16,14.10,16.00,0.64
3824,1277,0.00,0.00,16,14.10,16.00,0.64
3856,1277,0.00,0.00,16,14.10,16.00,0.64
3896,1290,0.00,0.00,16,14.10,14.50,0.64
3928,1290,0.00,0.00,16,14.10,14.50,0.64
3960,1291,0.00,0.00,16,14.10,14.50,0.64
3992,1291,0.00,0.00,16,14.10,14.50,0.64
4032,1291,0.00,0.00,16,14.10,14.50,0.64
4065,1291,0.00,0.00,16,14.10,14.50,0.64
4100,1281,0.00,0.00,16,14.10,15.50,0.64
4133,1281,0.00,0.00,16,14.10,15.50,0.64
4165,1286,0.00,0.00,16,14.10,15.50,0.64
4206,1295,0.00,0.00,16,14.10,15.50,0.64
4230,1295,0.00,0.00,16,14.10,14.00,0.64
4270,1282,0.00,0.00,16,14.10,14.00,0.64
4306,1282,0.00,0.00,16,14.10,15.50,0.64
4338,1299,0.00,0.00,16,14.10,15.50,0.64
4378,1299,0.00,0.00,16,14.10,14.00,0.64
4410,1295,0.00,0.00,16,14.10,14.50,0.64
4442,1295,0.00,0.00,16,14.10,14.50,0.64
4474,1292,0.00,0.00,16,14.10,15.00,0.64
4506,1292,0.00,0.00,16,14.10,15.00,0.64
4538,1289,0.00,0.00,16,14.10,15.50,0.64
4578,1289,0.00,0.00,16,14.10,15.50,0.64
4610,1284,0.00,0.00,16,14.10,16.00,0.64
4642,1284,0.00,0.00,16,14.10,16.00,0.64
4682,1297,0.00,0.00,16,14.10,14.50,0.64
4714,1297,0.00,0.00,16,14.10,14.50,0.64
4746,1286,0.00,0.00,16,14.10,15.50,0.64
4778,1286,0.00,0.00,16,14.10,15.50,0.64
4818,1286,0.00,0.00,16,14.10,15.50,0.64
4852,1286,0.00,0.00,16,14.10,15.50,0.64
4884,1288,0.00,0.00,16,14.10,15.50,0.64
4916,1288,0.00,0.00,16,14.10,15.50,0.64
4950,1283,0.00,0.00,16,14.10,16.00,0.64
4982,1293,0.00,0.00,16,14.10,16.00,0.64
5022,1293,0.00,0.00,16,14.10,15.00,0.64
5062,1289,0.00,0.00,16,14.10,15.00,0.64
5094,1289,0.00,0.00,16,14.10,15.50,0.64
5126,1293,0.00,0.00,16,14.10,15.50,0.64
5160,1293,0.00,0.00,16,14.10,15.00,0.64
5192,1278,0.00,0.00,16,14.10,15.00,0.64
5224,1278,0.00,0.00,16,14.10,15.50,0.64
5256,1282,0.00,0.00,16,14.10,16.00,0.64
5296,1282,0.00,0.00,16,14.10,16.00,0.64
5328,1289,0.00,0.00,16,14.10,15.50,0.64
5360,1289,0.00,0.00,16,14.10,15.50,0.64
5392,1290,0.00,0.00,16,14.10,15.50,0.64
5430,1290,0.00,0.00,16,14.10,15.50,0.64
5463,1300,0.00,0.00,16,14.10,14.00,0.64
5499,1300,0.00,0.00,16,14.10,14.00,0.64
5531,1290,0.00,0.00,16,14.10,15.50,0.64
5563,1290,0.00,0.00,16,14.10,15.50,0.64
5603,1300,0.00,0.00,16,14.10,15.50,0.64
5635,1300,0.00,0.00,16,14.10,15.50,0.64
5667,1290,0.00,0.00,16,14.10,15.50,0.64
5699,1290,0.00,0.00,16,14.10,15.50,0.64
5738,1283,0.00,0.00,16,14.10,16.50,0.64
5773,1296,0.00,0.00,16,14.10,16.50,0.64
5805,1296,0.00,0.00,16,14.10,15.00,0.64
5837,1290,0.00,0.00,16,14.10,15.00,0.64
5877,1290,0.00,0.00,16,14.10,15.50,0.64
5906,1296,0.00,0.00,16,14.10,15.50,0.64
5945,1296,0.00,0.00,16,14.10,15.00,0.64
5977,1297,0.00,0.00,16,14.10,15.00,0.64
6009,1297,0.00,0.00,16,14.10,15.00,0.64
6041,1292,0.00,0.00,16,14.10,15.50,0.64
6081,1292,0.00,0.00,16,14.10,15.50,0.64
6115,1294,0.00,0.00,16,14.10,15.50,0.64
6147,1294,0.00,0.00,16,14.10,15.50,0.64
6179,1284,0.00,0.00,16,14.10,16.50,0.64
