Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V)
0,0.00,0.00,16,5.85,1.46
32,0.00,0.00,16,5.85,1.46
64,0.00,0.00,16,5.85,1.46
88,0.00,0.00,16,5.85,1.46
120,0.00,0.00,16,5.85,1.46
152,0.00,0.00,16,5.81,1.46
176,0.00,0.00,16,5.81,1.46
208,0.00,0.00,16,5.81,1.46
240,0.00,0.00,16,5.81,1.46
272,0.00,0.00,16,5.85,1.46
296,0.00,0.00,16,5.85,1.46
328,0.00,0.00,16,5.94,1.46
360,0.00,0.00,16,5.94,1.46
384,0.00,0.00,16,5.94,1.46
416,0.00,0.00,16,5.87,1.46
449,0.00,0.00,16,5.87,1.46
474,0.00,0.00,16,5.81,1.46
506,0.00,0.00,16,5.81,1.46
538,0.00,0.00,16,5.74,1.46
562,0.00,0.00,16,5.74,1.46
594,0.00,0.00,16,5.78,1.46
622,0.00,0.00,16,5.78,1.46
652,0.00,0.00,16,5.78,1.46
684,0.00,0.00,16,5.78,1.46
709,0.00,0.00,16,5.78,1.46
741,0.00,0.00,16,5.74,1.46
772,0.00,0.00,16,5.74,1.46
804,0.00,0.00,16,5.78,1.46
829,0.00,0.00,16,5.78,1.46
861,0.00,0.00,16,5.78,1.46
892,0.00,0.00,16,5.78,1.46
917,0.00,0.00,16,5.85,1.46
951,0.00,0.00,16,5.85,1.46
975,0.00,0.00,16,5.85,1.46
1007,0.00,0.00,16,5.85,1.46
1039,0.00,0.00,16,5.85,1.46
1063,0.00,0.00,16,5.81,1.46
1095,0.00,0.00,16,5.81,1.46
1127,0.00,0.00,16,5.85,1.46
1159,0.00,0.00,16,5.85,1.46
1183,0.00,0.00,16,5.85,1.46
1211,0.00,0.00,16,5.85,1.46
1246,0.00,0.00,16,5.78,1.46
1270,0.00,0.00,16,5.78,1.46
1302,0.00,0.00,16,5.78,1.46
1334,0.00,0.00,16,5.78,1.46
1358,0.00,0.00,16,5.78,1.46
1390,0.00,0.00,16,5.85,1.46
1422,0.00,0.00,16,5.85,1.46
1454,0.00,0.00,16,5.85,1.46
1478,0.00,0.00,16,5.85,1.46
1510,0.00,0.00,16,5.85,1.46
1534,0.00,0.00,16,5.85,1.46
1567,0.00,0.00,16,5.85,1.46
1598,0.00,0.00,16,5.81,1.46
1630,0.00,0.00,16,5.81,1.46
1654,0.00,0.00,16,5.81,1.46
1686,0.00,0.00,16,5.81,1.46
1718,0.00,0.00,16,5.78,1.46
1742,0.00,0.00,16,5.78,1.46
1774,0.00,0.00,16,5.81,1.46
1806,0.00,0.00,16,5.81,1.46
1838,0.00,0.00,16,5.85,1.46
1865,0.00,0.00,16,5.85,1.46
1897,0.00,0.00,16,5.85,1.46
1921,0.00,0.00,16,5.85,1.46
1953,0.00,0.00,16,5.85,1.46
1985,0.00,0.00,16,5.81,1.46
2009,0.00,0.00,16,5.81,1.46
2041,0.00,0.00,16,5.78,1.46
2073,0.00,0.00,16,5.78,1.46
2097,0.00,0.00,16,5.74,1.46
2129,0.00,0.00,16,5.74,1.46
2161,0.00,0.00,16,5.74,1.46
2185,0.00,0.00,16,5.78,1.46
2217,0.00,0.00,16,5.78,1.46
2249,0.00,0.00,16,5.78,1.46
2273,0.00,0.00,16,5.78,1.46
2305,0.00,0.00,16,5.78,1.46
2339,0.00,0.00,16,5.78,1.46
2364,0.00,0.00,16,5.74,1.44
2396,0.00,0.00,16,5.74,1.44
2422,0.00,0.00,16,5.72,1.46
2454,0.00,0.00,16,5.72,1.46
2486,0.00,0.00,16,5.72,1.46
2510,0.00,0.00,16,5.74,1.46
2542,0.00,0.00,16,5.74,1.46
2574,0.00,0.00,16,5.72,1.46
2606,0.00,0.00,16,5.72,1.46
2639,0.00,0.00,16,5.78,1.46
2663,0.00,0.00,16,5.78,1.46
2687,0.00,0.00,16,5.72,1.46
2719,0.00,0.00,16,5.72,1.46
2751,0.00,0.00,16,5.72,1.46
2775,0.00,0.00,16,5.72,1.46
2807,0.00,0.00,16,5.72,1.46
2839,0.00,0.00,16,5.74,1.46
2871,0.00,0.00,16,5.74,1.46
2895,0.00,0.00,16,5.78,1.46
2927,0.00,0.00,16,5.78,1.46
2959,0.00,0.00,16,5.78,1.46
2983,0.00,0.00,16,5.78,1.46
3023,0.00,0.00,16,5.78,1.46
3047,0.00,0.00,16,5.78,1.46
3071,0.00,0.00,16,5.78,1.46
3103,0.00,0.00,16,5.78,1.46
3135,0.00,0.00,16,5.78,1.46
3167,0.00,0.00,16,5.78,1.46
3191,0.00,0.00,16,5.78,1.46
3223,0.00,0.00,16,5.81,1.46
3255,0.00,0.00,16,5.81,1.46
3287,0.00,0.00,16,5.78,1.46
3311,0.00,0.00,16,5.78,1.46
3343,0.00,0.00,16,5.78,1.46
3367,0.00,0.00,16,5.78,1.46
3399,0.00,0.00,16,5.78,1.46
3431,0.00,0.00,16,5.72,1.46
3455,0.00,0.00,16,5.72,1.46
3487,0.00,0.00,16,5.72,1.46
3519,0.00,0.00,16,5.72,1.46
3551,0.00,0.00,16,5.72,1.46
3575,0.00,0.00,16,5.72,1.46
3607,0.00,0.00,16,5.78,1.46
3639,0.00,0.00,16,5.78,1.46
3671,0.00,0.00,16,5.78,1.46
3695,0.00,0.00,16,5.85,1.46
3727,0.00,0.00,16,5.85,1.46
3751,0.00,0.00,16,5.78,1.46
3783,0.00,0.00,16,5.78,1.46
3815,0.00,0.00,16,5.78,1.46
3839,0.00,0.00,16,5.78,1.46
3875,0.00,0.00,16,5.78,1.46
3899,0.00,0.00,16,5.78,1.46
3931,0.00,0.00,16,5.81,1.46
3963,0.00,0.00,16,5.81,1.46
3987,0.00,0.00,16,5.81,1.46
4019,0.00,0.00,16,5.78,1.46
4051,0.00,0.00,16,5.78,1.46
4083,0.00,0.00,16,5.78,1.46
4107,0.00,0.00,16,5.78,1.46
4139,0.00,0.00,16,5.74,1.46
4171,0.00,0.00,16,5.74,1.46
4195,0.00,0.00,16,5.78,1.46
4227,0.00,0.00,16,5.78,1.46
4259,0.00,0.00,16,5.78,1.46
4283,0.00,0.00,16,5.78,1.46
4315,0.00,0.00,16,5.78,1.46
4347,0.00,0.00,16,5.78,1.46
4379,0.00,0.00,16,5.78,1.46
4403,0.00,0.00,16,5.78,1.46
4437,0.00,0.00,16,5.78,1.46
4469,0.00,0.00,16,5.78,1.46
4493,0.00,0.00,16,5.78,1.46
4520,0.00,0.00,16,5.85,1.46
4553,0.00,0.00,16,5.85,1.46
4585,0.00,0.00,16,5.85,1.46
4609,0.00,0.00,16,5.78,1.46
4645,0.00,0.00,16,5.78,1.46
4669,0.00,0.00,16,5.72,1.46
4703,0.00,0.00,16,5.72,1.46
4727,0.00,0.00,16,5.74,1.46
4759,0.00,0.00,16,5.74,1.46
4791,0.00,0.00,16,5.78,1.46
4815,0.00,0.00,16,5.78,1.46
4847,0.00,0.00,16,5.78,1.46
4879,0.00,0.00,16,5.78,1.46
4911,0.00,0.00,16,5.78,1.46
4937,0.00,0.00,16,5.78,1.46
4969,0.00,0.00,16,5.78,1.46
4993,0.00,0.00,16,5.78,1.46
5025,0.00,0.00,16,5.78,1.46
5057,0.00,0.00,16,5.78,1.46
5081,0.00,0.00,16,5.78,1.46
5113,0.00,0.00,16,5.78,1.46
5145,0.00,0.00,16,5.78,1.46
5169,0.00,0.00,16,5.78,1.46
5201,0.00,0.00,16,5.74,1.46
5233,0.00,0.00,16,5.74,1.46
5265,0.00,0.00,16,5.78,1.46
5289,0.00,0.00,16,5.78,1.46
5317,0.00,0.00,16,5.78,1.46
5350,0.00,0.00,16,5.78,1.46
5381,0.00,0.00,16,5.78,1.46
5406,0.00,0.00,16,5.78,1.46
5440,0.00,0.00,16,5.78,1.46
5464,0.00,0.00,16,5.78,1.46
5504,0.00,0.00,16,5.78,1.44
5528,0.00,0.00,16,5.74,1.44
5560,0.00,0.00,16,5.74,1.44
5584,0.00,0.00,16,5.72,1.46
5616,0.00,0.00,16,5.72,1.46
5648,0.00,0.00,16,5.72,1.46
5680,0.00,0.00,16,5.72,1.46
5704,0.00,0.00,16,5.78,1.46
5736,0.00,0.00,16,5.78,1.46
5768,0.00,0.00,16,5.78,1.46
5792,0.00,0.00,16,5.78,1.46
5824,0.00,0.00,16,5.78,1.46
5849,0.00,0.00,16,5.78,1.46
5881,0.00,0.00,16,5.78,1.46
5913,0.00,0.00,16,5.72,1.44
5937,0.00,0.00,16,5.72,1.44
5969,0.00,0.00,16,5.74,1.46
6001,0.00,0.00,16,5.74,1.46
6033,0.00,0.00,16,5.78,1.46
6057,0.00,0.00,16,5.78,1.46
6089,0.00,0.00,16,5.78,1.46
6121,0.00,0.00,16,5.78,1.46
6153,0.00,0.00,16,5.78,1.46
6177,0.00,0.00,16,5.78,1.46
6209,0.00,0.00,16,5.78,1.46
6241,0.00,0.00,16,5.72,1.44
6265,0.00,0.00,16,5.72,1.44
6297,0.00,0.00,16,5.68,1.46
6321,0.00,0.00,16,5.68,1.46
6356,0.00,0.00,16,5.72,1.46
6388,0.00,0.00,16,5.72,1.46
6417,0.00,0.00,16,5.72,1.46
6441,0.00,0.00,16,5.78,1.46
6473,0.00,0.00,16,5.78,1.46
6505,0.00,0.00,16,5.72,1.46
6533,0.00,0.00,16,5.72,1.46
6558,0.00,0.00,16,5.68,1.44
6590,0.00,0.00,16,5.68,1.44
6622,0.00,0.00,16,5.78,1.46
6653,0.00,0.00,16,5.78,1.46
6678,0.00,0.00,16,5.78,1.46
6712,0.00,0.00,16,5.78,1.46
6736,0.00,0.00,16,5.78,1.46
6770,0.00,0.00,16,5.74,1.46
6802,0.00,0.00,16,5.74,1.46
6826,0.00,0.00,16,5.74,1.46
6858,0.00,0.00,16,5.74,1.46
6890,0.00,0.00,16,5.72,1.46
6914,0.00,0.00,16,5.72,1.46
6946,0.00,0.00,16,5.78,1.46
6978,0.00,0.00,16,5.78,1.46
7002,0.00,0.00,16,5.78,1.46
7034,0.00,0.00,16,5.74,1.46
7066,0.00,0.00,16,5.74,1.46
7098,0.00,0.00,16,5.72,1.46
7122,0.00,0.00,16,5.72,1.46
7154,0.00,0.00,16,5.65,1.46
7186,0.00,0.00,16,5.65,1.46
7210,0.00,0.00,16,5.72,1.46
7242,0.00,0.00,16,5.72,1.46
7274,0.00,0.00,16,5.74,1.46
7298,0.00,0.00,16,5.74,1.46
7330,0.00,0.00,16,5.74,1.46
7358,0.00,0.00,16,5.72,1.46
7390,0.00,0.00,16,5.72,1.46
7422,0.00,0.00,16,5.72,1.46
7446,0.00,0.00,16,5.72,1.46
7478,0.00,0.00,16,5.72,1.46
7510,0.00,0.00,16,5.72,1.46
7534,0.00,0.00,16,5.72,1.46
7566,0.00,0.00,16,5.72,1.46
7598,0.00,0.00,16,5.72,1.46
7622,0.00,0.00,16,5.78,1.46
7654,0.00,0.00,16,5.78,1.46
7686,0.00,0.00,16,5.78,1.46
7718,0.00,0.00,16,5.78,1.46
7742,0.00,0.00,16,5.68,1.46
7774,0.00,0.00,16,5.68,1.46
7806,0.00,0.00,16,5.68,1.46
7832,0.00,0.00,16,5.68,1.46
7864,0.00,0.00,16,5.72,1.46
7888,0.00,0.00,16,5.72,1.46
7920,0.00,0.00,16,5.72,1.46
7952,0.00,0.00,16,5.78,1.46
7984,0.00,0.00,16,5.78,1.46
8008,0.00,0.00,16,5.68,1.46
8040,0.00,0.00,16,5.68,1.46
8072,0.00,0.00,16,5.72,1.44
8096,0.00,0.00,16,5.72,1.44
8128,0.00,0.00,16,5.72,1.46
8160,0.00,0.00,16,5.72,1.46
8184,0.00,0.00,16,5.72,1.44
8216,0.00,0.00,16,5.72,1.44
8248,0.00,0.00,16,5.72,1.46
8272,0.00,0.00,16,5.68,1.46
8304,0.00,0.00,16,5.68,1.46
8331,0.00,0.00,16,5.68,1.44
8363,0.00,0.00,16,5.68,1.44
8396,0.00,0.00,16,5.68,1.44
8427,0.00,0.00,16,5.68,1.44
8451,0.00,0.00,16,5.74,1.46
8483,0.00,0.00,16,5.74,1.46
8515,0.00,0.00,16,5.74,1.44
8540,0.00,0.00,16,5.74,1.44
8572,0.00,0.00,16,5.74,1.46
8603,0.00,0.00,16,5.72,1.46
8635,0.00,0.00,16,5.72,1.46
8659,0.00,0.00,16,5.68,1.46
8693,0.00,0.00,16,5.68,1.46
8721,0.00,0.00,16,5.68,1.44
8746,0.00,0.00,16,5.68,1.44
8778,0.00,0.00,16,5.72,1.46
8811,0.00,0.00,16,5.72,1.46
8836,0.00,0.00,16,5.72,1.46
8868,0.00,0.00,16,5.68,1.46
8900,0.00,0.00,16,5.68,1.46
8927,0.00,0.00,16,5.72,1.46
8958,0.00,0.00,16,5.72,1.46
8982,0.00,0.00,16,5.78,1.46
9014,0.00,0.00,16,5.78,1.46
9046,0.00,0.00,16,5.72,1.44
9078,0.00,0.00,16,5.72,1.44
9102,0.00,0.00,16,5.72,1.46
9134,0.00,0.00,16,5.72,1.46
9166,0.00,0.00,16,5.72,1.46
9190,0.00,0.00,16,5.72,1.46
9222,0.00,0.00,16,5.72,1.46
9254,0.00,0.00,16,5.72,1.46
9278,0.00,0.00,16,5.72,1.46
9310,0.00,0.00,16,5.65,1.46
9343,0.00,0.00,16,5.65,1.46
9367,0.00,0.00,16,5.74,1.46
9398,0.00,0.00,16,5.74,1.46
9427,0.00,0.00,16,5.74,1.46
9460,0.00,0.00,16,5.74,1.46
9484,0.00,0.00,16,5.74,1.46
9516,0.00,0.00,16,5.72,1.46
9548,0.00,0.00,16,5.72,1.46
9572,0.00,0.00,16,5.72,1.46
9604,0.00,0.00,16,5.72,1.46
9636,0.00,0.00,16,5.72,1.46
9668,0.00,0.00,16,5.72,1.46
9692,0.00,0.00,16,5.72,1.44
9724,0.00,0.00,16,5.68,1.44
9756,0.00,0.00,16,5.68,1.46
9780,0.00,0.00,16,5.65,1.46
9812,0.00,0.00,16,5.65,1.46
9844,0.00,0.00,16,5.72,1.44
9876,0.00,0.00,16,5.72,1.44
9900,0.00,0.00,16,5.72,1.46
9932,0.00,0.00,16,5.72,1.46
9956,0.00,0.00,16,5.72,1.46
9988,0.00,0.00,16,5.72,1.46
10020,0.00,0.00,16,5.72,1.44
10052,0.00,0.00,16,5.68,1.44
10092,0.00,0.00,16,5.68,1.46
10108,0.00,0.00,16,5.74,1.46
10140,0.00,0.00,16,5.74,1.46
10166,0.00,0.00,16,5.68,1.44
10198,0.00,0.00,16,5.68,1.44
10230,0.00,0.00,16,5.65,1.46
10254,0.00,0.00,16,5.65,1.46
10286,0.00,0.00,16,5.72,1.46
10318,0.00,0.00,16,5.72,1.46
10346,0.00,0.00,16,5.72,1.46
10378,0.00,0.00,16,5.74,1.46
