Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Engine Speed (rpm),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Turbo Dynamics Proportional* (absolute %)
0,0.00,0.00,16,1082,-9.67,0.00,-1.08,0.64,0.00
40,0.00,0.00,16,1084,-9.71,0.00,-1.08,0.64,0.00
88,0.00,0.00,16,1084,-9.69,0.00,-1.08,0.64,0.00
136,0.00,0.00,16,1084,-9.73,0.00,-1.08,0.64,0.00
176,0.00,0.00,16,1074,-9.73,0.00,-1.08,0.64,0.00
224,0.00,0.00,16,1074,-9.71,0.00,-1.08,0.64,0.00
266,0.00,0.00,16,1073,-9.71,0.00,-1.08,0.64,0.00
314,0.00,0.00,16,1076,-9.67,0.00,-1.08,0.64,0.00
362,0.00,0.00,16,1072,-9.73,0.00,-1.08,0.64,0.00
410,0.00,0.00,16,1072,-9.69,0.00,-1.08,0.64,0.00
458,0.00,0.00,16,1064,-9.71,0.00,-1.08,0.64,0.00
498,0.00,0.00,16,1059,-9.71,0.00,-1.08,0.64,0.00
546,0.00,0.00,16,1059,-9.67,0.00,-1.08,0.64,0.00
586,0.00,0.00,16,1058,-9.67,0.00,-1.08,0.64,0.00
634,0.00,0.00,16,1058,-9.65,0.00,-1.08,0.64,0.00
682,0.00,0.00,16,1058,-9.65,0.00,-1.08,0.64,0.00
726,0.00,0.00,16,1058,-9.67,0.00,-1.08,0.64,0.00
774,0.00,0.00,16,1066,-9.65,0.00,-1.08,0.64,0.00
815,0.00,0.00,16,1066,-9.67,0.00,-1.08,0.64,0.00
863,0.00,0.00,16,1068,-9.65,0.00,-1.08,0.64,0.00
911,0.00,0.00,16,1065,-9.65,0.00,-1.08,0.64,0.00
951,0.00,0.00,16,1073,-9.65,0.00,-1.08,0.64,0.00
1007,0.00,0.00,16,1073,-9.65,0.00,-1.08,0.64,0.00
1047,0.00,0.00,16,1078,-9.67,0.00,-1.08,0.64,0.00
1095,0.00,0.00,16,1077,-9.67,0.00,-1.08,0.64,0.00
1135,0.00,0.00,16,1077,-9.67,0.00,-1.08,0.64,0.00
1191,0.00,0.00,16,1067,-9.69,0.00,-1.08,0.64,0.00
1239,0.00,0.00,16,1078,-9.67,0.00,-1.08,0.64,0.00
1279,0.00,0.00,16,1078,-9.67,0.00,-1.08,0.64,0.00
1335,0.00,0.00,16,1071,-9.67,0.00,-1.08,0.64,0.00
1375,0.00,0.00,16,1074,-9.69,0.00,-1.08,0.64,0.00
1415,0.00,0.00,16,1076,-9.69,0.00,-1.08,0.64,0.00
1455,0.00,0.00,16,1076,-9.67,0.00,-1.08,0.64,0.00
1535,0.00,0.00,16,1084,-9.69,0.00,-1.08,0.64,0.00
1559,0.00,0.00,16,1083,-9.67,0.00,-1.08,0.64,0.00
1623,0.00,0.00,16,1083,-9.71,0.00,-1.08,0.64,0.00
1639,0.00,0.00,16,1087,-9.71,0.00,-1.08,0.64,0.00
1703,0.00,0.00,16,1084,-9.69,0.00,-1.08,0.64,0.00
1727,0.00,0.00,16,1084,-9.71,0.00,-1.08,0.64,0.00
1799,0.00,0.00,16,1088,-9.67,0.00,-1.08,0.64,0.00
1839,0.00,0.00,16,1082,-9.73,0.00,-1.08,0.64,0.00
1863,0.00,0.00,16,1082,-9.69,0.00,-1.08,0.64,0.00
1943,0.00,0.00,16,1085,-9.69,0.00,-1.08,0.64,0.00
1991,0.00,0.00,16,1081,-9.73,0.00,-1.08,0.64,0.00
2039,0.00,0.00,16,1073,-9.73,0.00,-1.08,0.64,0.00
2079,0.00,0.00,16,1073,-9.73,0.00,-1.08,0.64,0.00
2119,0.00,0.00,16,1076,-9.73,0.00,-1.08,0.64,0.00
2167,0.00,0.00,16,1084,-9.73,0.00,-1.08,0.64,0.00
2183,0.00,0.00,16,1084,-9.73,0.00,-1.08,0.64,0.00
2247,0.00,0.00,16,1092,-9.73,0.00,-1.08,0.64,0.00
2295,0.00,0.00,16,1096,-9.73,0.00,-1.08,0.64,0.00
2327,0.00,0.00,16,1096,-9.73,0.00,-1.08,0.64,0.00
2367,0.00,0.00,16,1091,-9.75,0.00,-1.08,0.64,0.00
2415,0.00,0.00,16,1066,-9.75,0.00,-1.08,0.64,0.00
2455,0.00,0.00,16,1076,-9.73,0.00,-1.08,0.64,0.00
2503,0.00,0.00,16,1076,-9.73,0.00,-1.08,0.64,0.00
2548,0.00,0.00,16,1074,-9.73,0.00,-1.08,0.64,0.00
2596,0.00,0.00,16,1071,-9.73,0.00,-1.08,0.64,0.00
2644,0.00,0.00,16,1071,-9.73,0.00,-1.08,0.64,0.00
2684,0.00,0.00,16,1059,-9.73,0.00,-1.08,0.64,0.00
2732,0.00,0.00,16,1051,-9.71,0.00,-1.08,0.64,0.00
2789,0.00,0.00,16,1051,-9.67,0.00,-1.08,0.64,0.00
2821,0.00,0.00,16,1050,-9.67,0.00,-1.08,0.64,0.00
2871,0.00,0.00,16,1054,-9.65,0.00,-1.08,0.64,0.00
2920,0.00,0.00,16,1054,-9.65,0.00,-1.08,0.64,0.00
2960,0.00,0.00,16,1061,-9.67,0.00,-1.08,0.64,0.00
3002,0.00,0.00,16,1068,-9.65,0.00,-1.08,0.64,0.00
3053,0.00,0.00,16,1072,-9.67,0.00,-1.08,0.64,0.00
3103,0.00,0.00,16,1072,-9.67,0.00,-1.08,0.64,0.00
3143,0.00,0.00,16,1073,-9.65,0.00,-1.08,0.64,0.00
3193,0.00,0.00,16,1063,-9.67,0.00,-1.08,0.64,0.00
3234,0.00,0.00,16,1063,-9.67,0.00,-1.08,0.64,0.00
3274,0.00,0.00,16,1070,-9.67,0.00,-1.08,0.64,0.00
3324,0.00,0.00,16,1065,-9.65,0.00,-1.08,0.64,0.00
3362,0.00,0.00,16,1065,-9.67,0.00,-1.08,0.64,0.00
3409,0.00,0.00,16,1085,-9.67,0.00,-1.08,0.64,0.00
3462,0.00,0.00,16,1093,-9.67,0.00,-1.08,0.64,0.00
3509,0.00,0.00,16,1089,-9.71,0.00,-1.08,0.64,0.00
3540,0.00,0.00,16,1089,-9.67,0.00,-1.08,0.64,0.00
3594,0.00,0.00,16,1072,-9.71,0.00,-1.08,0.64,0.00
3641,0.00,0.00,16,1076,-9.71,0.00,-1.08,0.64,0.00
3679,0.00,0.00,16,1076,-9.69,0.00,-1.08,0.64,0.00
3734,0.00,0.00,16,1089,-9.71,0.00,-1.08,0.64,0.00
3782,0.00,0.00,16,1097,-9.67,0.00,-1.08,0.64,0.00
3827,0.00,0.00,16,1097,-9.73,0.00,-1.08,0.64,0.00
3867,0.00,0.00,16,1098,-9.73,0.00,-1.08,0.64,0.00
3915,0.00,0.00,16,1092,-9.73,0.00,-1.08,0.64,0.00
3963,0.00,0.00,16,1092,-9.73,0.00,-1.08,0.64,0.00
4004,0.00,0.00,16,1086,-9.73,0.00,-1.08,0.64,0.00
4052,0.00,0.00,16,1085,-9.75,0.00,-1.08,0.64,0.00
4100,0.00,0.00,16,1085,-9.73,0.00,-1.08,0.64,0.00
4142,0.00,0.00,16,1085,-9.73,0.00,-1.08,0.64,0.00
4190,0.00,0.00,16,1070,-9.73,0.00,-1.08,0.64,0.00
4238,0.00,0.00,16,1078,-9.73,0.00,-1.08,0.64,0.00
4278,0.00,0.00,16,1078,-9.73,0.00,-1.08,0.64,0.00
4329,0.00,0.00,16,1080,-9.71,0.00,-1.08,0.64,0.00
4369,0.00,0.00,16,1078,-9.73,0.00,-1.08,0.64,0.00
4417,0.00,0.00,16,1078,-9.73,0.00,-1.08,0.64,0.00
4465,0.00,0.00,16,1082,-9.73,0.00,-1.08,0.64,0.00
4507,0.00,0.00,16,1085,-9.73,0.00,-1.08,0.64,0.00
4555,0.00,0.00,16,1030,-9.73,0.00,-1.08,0.64,0.00
4600,0.00,0.00,16,1094,-9.73,0.00,-1.08,0.64,0.00
4648,0.00,0.00,16,1080,-9.73,0.00,-1.08,0.64,0.00
4688,0.00,0.00,16,1080,-9.73,0.00,-1.08,0.64,0.00
4736,0.00,0.00,16,1080,-9.73,0.00,-1.08,0.64,0.00
4784,0.00,0.00,16,1077,-9.73,0.00,-1.08,0.64,0.00
4827,0.00,0.00,16,1080,-9.75,0.00,-1.08,0.64,0.00
4875,0.00,0.00,16,1080,-9.73,0.00,-1.08,0.64,0.00
4915,0.00,0.00,16,1078,-9.73,0.00,-1.08,0.64,0.00
4963,0.00,0.00,16,1081,-9.75,0.00,-1.08,0.64,0.00
5011,0.00,0.00,16,1081,-9.73,0.00,-1.08,0.64,0.00
5059,0.00,0.00,16,1072,-9.73,0.00,-1.08,0.64,0.00
5099,0.00,0.00,16,1073,-9.73,0.00,-1.08,0.64,0.00
5147,0.00,0.00,16,1077,-9.73,0.00,-1.08,0.64,0.00
5195,0.00,0.00,16,1077,-9.73,0.00,-1.08,0.64,0.00
5243,0.00,0.00,16,1072,-9.73,0.00,-1.08,0.64,0.00
5291,0.00,0.00,16,1076,-9.73,0.00,-1.08,0.64,0.00
5331,0.00,0.00,16,1076,-9.73,0.00,-1.08,0.64,0.00
5375,0.00,0.00,16,1069,-9.73,0.00,-1.08,0.64,0.00
5415,0.00,0.00,16,1062,-9.73,0.00,-1.08,0.64,0.00
5463,0.00,0.00,16,1062,-9.69,0.00,-1.08,0.64,0.00
5511,0.00,0.00,16,1070,-9.71,0.00,-1.08,0.64,0.00
5559,0.00,0.00,16,1085,-9.69,0.00,-1.08,0.64,0.00
5604,0.00,0.00,16,1082,-9.73,0.00,-1.08,0.64,0.00
5651,0.00,0.00,16,1082,-9.71,0.00,-1.08,0.64,0.00
5692,0.00,0.00,16,1071,-9.73,0.00,-1.08,0.64,0.00
5740,0.00,0.00,16,1060,-9.73,0.00,-1.08,0.64,0.00
5787,0.00,0.00,16,1060,-9.73,0.00,-1.08,0.64,0.00
5828,0.00,0.00,16,1071,-9.73,0.00,-1.08,0.64,0.00
5876,0.00,0.00,16,1075,-9.71,0.00,-1.08,0.64,0.00
5923,0.00,0.00,16,1075,-9.71,0.00,-1.08,0.64,0.00
5964,0.00,0.00,16,1060,-9.73,0.00,-1.08,0.64,0.00
6012,0.00,0.00,16,1068,-9.67,0.00,-1.08,0.64,0.00
6059,0.00,0.00,16,1068,-9.67,0.00,-1.08,0.64,0.00
6102,0.00,0.00,16,1077,-9.67,0.00,-1.08,0.64,0.00
6151,0.00,0.00,16,1058,-9.67,0.00,-1.08,0.64,0.00
6191,0.00,0.00,16,1066,-9.67,0.00,-1.08,0.64,0.00
6239,0.00,0.00,16,1066,-9.67,0.00,-1.08,0.64,0.00
6287,0.00,0.00,16,1079,-9.71,0.00,-1.08,0.64,0.00
6335,0.00,0.00,16,1086,-9.67,0.00,-1.08,0.64,0.00
6375,0.00,0.00,16,1086,-9.73,0.00,-1.08,0.64,0.00
6424,0.00,0.00,16,1068,-9.69,0.00,-1.08,0.64,0.00
6471,0.00,0.00,16,1074,-9.69,0.00,-1.08,0.64,0.00
6512,0.00,0.00,16,1074,-9.71,0.00,-1.08,0.64,0.00
6560,0.00,0.00,16,1071,-9.69,0.00,-1.08,0.64,0.00
6607,0.00,0.00,16,1078,-9.73,0.00,-1.08,0.64,0.00
6648,0.00,0.00,16,1072,-9.73,0.00,-1.08,0.64,0.00
6696,0.00,0.00,16,1072,-9.73,0.00,-1.08,0.64,0.00
6743,0.00,0.00,16,1079,-9.73,0.00,-1.08,0.64,0.00
6784,0.00,0.00,16,1074,-9.73,0.00,-1.08,0.64,0.00
6832,0.00,0.00,16,1074,-9.73,0.00,-1.08,0.64,0.00
6880,0.00,0.00,16,1075,-9.69,0.00,-1.08,0.64,0.00
6927,0.00,0.00,16,1073,-9.69,0.00,-1.08,0.64,0.00
6968,0.00,0.00,16,1073,-9.73,0.00,-1.08,0.64,0.00
7016,0.00,0.00,16,1073,-9.73,0.00,-1.08,0.64,0.00
7063,0.00,0.00,16,1075,-9.73,0.00,-1.08,0.64,0.00
7104,0.00,0.00,16,1075,-9.71,0.00,-1.08,0.64,0.00
7152,0.00,0.00,16,1077,-9.71,0.00,-1.08,0.64,0.00
7199,0.00,0.00,16,1082,-9.73,0.00,-1.08,0.64,0.00
7239,0.00,0.00,16,1025,-9.73,0.00,-1.08,0.64,0.00
7290,0.00,0.00,16,1089,-9.73,0.00,-1.08,0.64,0.00
7338,0.00,0.00,16,1071,-9.73,0.00,-1.08,0.64,0.00
7378,0.00,0.00,16,1066,-9.73,0.00,-1.08,0.64,0.00
7426,0.00,0.00,16,1066,-9.73,0.00,-1.08,0.64,0.00
7474,0.00,0.00,16,1083,-9.73,0.00,-1.08,0.64,0.00
7522,0.00,0.00,16,1089,-9.71,0.00,-1.08,0.64,0.00
7561,0.00,0.00,16,1089,-9.71,0.00,-1.08,0.64,0.00
7609,0.00,0.00,16,1088,-9.73,0.00,-1.08,0.64,0.00
7649,0.00,0.00,16,1080,-9.73,0.00,-1.08,0.64,0.00
7697,0.00,0.00,16,1072,-9.73,0.00,-1.08,0.64,0.00
7745,0.00,0.00,16,1072,-9.73,0.00,-1.08,0.64,0.00
7785,0.00,0.00,16,1063,-9.73,0.00,-1.08,0.64,0.00
7833,0.00,0.00,16,1078,-9.73,0.00,-1.08,0.64,0.00
7881,0.00,0.00,16,1078,-9.73,0.00,-1.08,0.64,0.00
7929,0.00,0.00,16,1083,-9.73,0.00,-1.08,0.64,0.00
7969,0.00,0.00,16,1082,-9.73,0.00,-1.08,0.64,0.00
8017,0.00,0.00,16,1082,-9.73,0.00,-1.08,0.64,0.00
8065,0.00,0.00,16,1076,-9.75,0.00,-1.08,0.64,0.00
8105,0.00,0.00,16,1076,-9.73,0.00,-1.08,0.64,0.00
8153,0.00,0.00,16,1076,-9.73,0.00,-1.08,0.64,0.00
8201,0.00,0.00,16,1082,-9.73,0.00,-1.08,0.64,0.00
8249,0.00,0.00,16,1084,-9.73,0.00,-1.08,0.64,0.00
8289,0.00,0.00,16,1082,-9.73,0.00,-1.08,0.64,0.00
8337,0.00,0.00,16,1082,-9.73,0.00,-1.08,0.64,0.00
8385,0.00,0.00,16,1068,-9.73,0.00,-1.08,0.64,0.00
8426,0.00,0.00,16,1069,-9.73,0.00,-1.08,0.64,0.00
8474,0.00,0.00,16,1069,-9.73,0.00,-1.08,0.64,0.00
8522,0.00,0.00,16,1065,-9.73,0.00,-1.08,0.64,0.00
8562,0.00,0.00,16,1072,-9.71,0.00,-1.08,0.64,0.00
8610,0.00,0.00,16,1072,-9.73,0.00,-1.08,0.64,0.00
8658,0.00,0.00,16,1068,-9.73,0.00,-1.08,0.64,0.00
8698,0.00,0.00,16,1077,-9.73,0.00,-1.08,0.64,0.00
8746,0.00,0.00,16,1066,-9.73,0.00,-1.08,0.64,0.00
8794,0.00,0.00,16,1066,-9.71,0.00,-1.08,0.64,0.00
8838,0.00,0.00,16,1066,-9.73,0.00,-1.08,0.64,0.00
8885,0.00,0.00,16,1062,-9.71,0.00,-1.08,0.64,0.00
8926,0.00,0.00,16,1062,-9.71,0.00,-1.08,0.64,0.00
8974,0.00,0.00,16,1074,-9.73,0.00,-1.08,0.64,0.00
9022,0.00,0.00,16,1082,-9.69,0.00,-1.08,0.64,0.00
9069,0.00,0.00,16,1082,-9.73,0.00,-1.08,0.64,0.00
9110,0.00,0.00,16,1070,-9.69,0.00,-1.08,0.64,0.00
9158,0.00,0.00,16,1064,-9.71,0.00,-1.08,0.64,0.00
9205,0.00,0.00,16,1064,-9.73,0.00,-1.08,0.64,0.00
9246,0.00,0.00,16,1055,-9.71,0.00,-1.08,0.64,0.00
9294,0.00,0.00,16,1054,-9.73,0.00,-1.08,0.64,0.00
9341,0.00,0.00,16,1070,-9.67,0.00,-1.08,0.64,0.00
9382,0.00,0.00,16,1070,-9.67,0.00,-1.08,0.64,0.00
9430,0.00,0.00,16,1076,-9.69,0.00,-1.08,0.64,0.00
9477,0.00,0.00,16,1073,-9.73,0.00,-1.08,0.64,0.00
9517,0.00,0.00,16,1073,-9.73,0.00,-1.08,0.64,0.00
9565,0.00,0.00,16,1060,-9.69,0.00,-1.08,0.64,0.00
9613,0.00,0.00,16,1057,-9.73,0.00,-1.08,0.64,0.00
9661,0.00,0.00,16,1057,-9.71,0.00,-1.08,0.64,0.00
9702,0.00,0.00,16,1051,-9.67,0.00,-1.08,0.64,0.00
9750,0.00,0.00,16,1066,-9.69,0.00,-1.08,0.64,0.00
9797,0.00,0.00,16,1074,-9.67,0.00,-1.08,0.64,0.00
9837,0.00,0.00,16,1074,-9.69,0.00,-1.08,0.64,0.00
9886,0.00,0.00,16,1070,-9.69,0.00,-1.08,0.64,0.00
9930,0.00,0.00,16,1072,-9.69,0.00,-1.08,0.64,0.00
